jobs,temp
0.0024305555556,46.625101852
0.0034375,46.142678241
0.45851851852,47.305392361
1.7569444444,48.450782986
1.3092708333,47.41741956
2.0,47.513368056000004
1.3484259259,47.365060185
0.0075462962963,47.461326967999995
0.73493055556,49.667078704
2.0,50.094371527999996
2.0,50.08359838
1.35625,49.893517361
0.002037037037,49.432836806
0.0006712962963,49.408276619999995
0.03755787037,50.456130787
3.0556597222,51.612674769
4.0,52.115517361
4.0,52.202256944
3.6332638889,52.00743287
3.0,51.716483796
3.0,51.741827546
3.0229050926,51.615423611000004
3.0,51.51935879599999
3.0,51.606496528
3.0,51.58424652800001
3.0,51.647519676
3.4961689815,51.873319444
7.0007523148,53.317791666999995
5.5319444444,53.246134258999994
2.4210185185,52.011833333000006
0.53890046296,50.796130786999996
2.0989930556,51.519890046
2.0,51.42628588
2.0,51.305098380000004
2.0,51.406935184999995
2.0,51.362414351999995
2.0,51.318690972
2.0,51.330451389
2.0,51.434484954000006
2.0,51.396013889
2.0,51.430694444000004
2.0,51.230861111
2.0,50.76296412
2.0,50.745194444
1.6900810185,50.658400463
0.0017361111111,49.324046296
0.0013888888889,49.212743056
0.043842592593,49.149347222
7.7019675926,50.838951389
8.7450462963,51.192207176
3.4769097222,50.235164352
16.291342593,54.230535880000005
35.0,60.46947106500001
11.957523148,53.317937500000006
0.56186342593,49.688962963
0.0044444444444,49.680274306
6.0676388889,52.549734953999995
9.5336342593,53.50127662
6.0041454418,52.059848937000005
6.0045097011,52.126801840999995
6.0041087963,52.170946759
6.0,52.219417824000004
6.0,52.196084491
6.0,52.278243055999994
6.0,52.25828588
3.949849537,51.713248842999995
0.018402777778,54.028905093000006
0.44548611111,54.454824653
1.6087037037,54.754322917
0.68260416667,54.356567129999995
1.1880439815,54.31384606499999
1.1126041667,55.117520833
2.7244560185,56.219049769
2.3138078704,55.58137963
11.821574074,56.65462963
21.16287037,58.656601851999994
18.895717593,58.531765046
10.0,56.617065972
10.0,56.628869212999994
10.002719907,56.54212037
10.0,56.416118056
5.3673263889,55.344696759
14.075763889,57.056247685
29.910208333,60.069281249999996
28.414236111,59.738290509
29.034143519,59.82769213
30.0,60.425314815
30.0,60.38754974
25.090162037,58.66230786999999
34.0,60.652261574
34.0,60.665840278
34.0,60.804535301
34.0,60.912691551
31.692986111,60.006648148
31.414351852,59.611872685
39.001388889,60.802358796
40.0,60.201736111
38.889351852,60.406711806
39.337037037,59.141212963
30.579560185,56.886171296
13.886111111,51.691453704000004
2.9759259259,48.127726852
40.0,59.356700231000005
40.0,59.54573726900001
15.715740741,52.124759258999994
18.210014556,46.101947016000004
37.0,60.613099537000004
37.006921296,60.603358795999995
36.72650463,60.369217592999995
22.177928241,53.963211806000004
37.0,59.559306713
37.004861111,59.585946759
27.344212963,56.256070602
2.9844444444,47.720466435
6.950150463,49.330248843
20.364305556,54.438164930999996
30.002002315,57.92636284699999
30.0,58.005320602
30.006851852,57.908539352000005
30.0,57.873574074
10.934375,51.04806713
0.69217592593,47.193568287
1.1089930556,47.414201389
0.16119212963,47.077366898
