unix_timestamp,active_jobs,readable_time
1365509880,149.83888889,2013/04/09 14:18:00
1365512400,119.36071429,2013/04/09 15:00:00
1365514920,101.54325397,2013/04/09 15:42:00
1365517440,114.2547619,2013/04/09 16:24:00
1365519960,104.41626984,2013/04/09 17:06:00
1365522480,100.87738095,2013/04/09 17:48:00
1365525000,103.41150794,2013/04/09 18:30:00
1365527520,102.55019841,2013/04/09 19:12:00
1365530040,97.625595238,2013/04/09 19:54:00
1365532560,94.41547619,2013/04/09 20:36:00
1365535080,90.726190476,2013/04/09 21:18:00
1365537600,90.049206349,2013/04/09 22:00:00
1365540120,90.258730159,2013/04/09 22:42:00
1365542640,89.051984127,2013/04/09 23:24:00
1365545160,89.667063492,2013/04/10 00:06:00
1365547680,92.831746032,2013/04/10 00:48:00
1365550200,102.85357143,2013/04/10 01:30:00
1365552720,102.54007937,2013/04/10 02:12:00
1365555240,102.3202381,2013/04/10 02:54:00
1365557760,102.59087302,2013/04/10 03:36:00
1365560280,101.95873016,2013/04/10 04:18:00
1365562800,99.734126984,2013/04/10 05:00:00
1365565320,97.063095238,2013/04/10 05:42:00
1365567840,93.336904762,2013/04/10 06:24:00
1365570360,91.713888889,2013/04/10 07:06:00
1365572880,91.731746032,2013/04/10 07:48:00
1365575400,90.631746032,2013/04/10 08:30:00
1365577920,89.013492063,2013/04/10 09:12:00
1365580440,88.147619048,2013/04/10 09:54:00
1365582960,104.16031746,2013/04/10 10:36:00
1365585480,122.72301587,2013/04/10 11:18:00
1365588000,108.35833333,2013/04/10 12:00:00
1365590520,107.66706349,2013/04/10 12:42:00
1365593040,93.057142857,2013/04/10 13:24:00
1365595560,88.16468254,2013/04/10 14:06:00
1365598080,86.767857143,2013/04/10 14:48:00
1365600600,85.588888889,2013/04/10 15:30:00
1365603120,100.23134921,2013/04/10 16:12:00
1365605640,92.343253968,2013/04/10 16:54:00
1365608160,83.884920635,2013/04/10 17:36:00
1365610680,81.24484127,2013/04/10 18:18:00
1365613200,82.244444444,2013/04/10 19:00:00
1365615720,82.822222222,2013/04/10 19:42:00
1365618240,87.796825397,2013/04/10 20:24:00
1365620760,89.468650794,2013/04/10 21:06:00
1365623280,86.664285714,2013/04/10 21:48:00
1365625800,98.654365079,2013/04/10 22:30:00
1365628320,99.093253968,2013/04/10 23:12:00
1365630840,106.42539683,2013/04/10 23:54:00
1365633360,112.38452381,2013/04/11 00:36:00
1365635880,31.285714286,2013/04/11 01:18:00
1365638400,31.0,2013/04/11 02:00:00
1365640920,27.428571429,2013/04/11 02:42:00
1365643440,26.0,2013/04/11 03:24:00
1365645960,26.0,2013/04/11 04:06:00
1365648480,26.0,2013/04/11 04:48:00
1365651000,26.0,2013/04/11 05:30:00
1365653520,26.0,2013/04/11 06:12:00
1365656040,26.0,2013/04/11 06:54:00
1365658560,26.0,2013/04/11 07:36:00
1365661080,26.0,2013/04/11 08:18:00
1365663600,93.004166667,2013/04/11 09:00:00
1365666120,101.87123016,2013/04/11 09:42:00
1365668640,129.69206349,2013/04/11 10:24:00
1365671160,126.35357143,2013/04/11 11:06:00
1365673680,133.4952381,2013/04/11 11:48:00
1365676200,124.39365079,2013/04/11 12:30:00
1365678720,107.57301587,2013/04/11 13:12:00
1365681240,111.80952381,2013/04/11 13:54:00
1365683760,107.56150794,2013/04/11 14:36:00
1365686280,90.48968254,2013/04/11 15:18:00
1365688800,111.46666667,2013/04/11 16:00:00
1365691320,109.38888889,2013/04/11 16:42:00
1365693840,107.56150794,2013/04/11 17:24:00
1365696360,110.8,2013/04/11 18:06:00
1365698880,112.57857143,2013/04/11 18:48:00
1365701400,110.00634921,2013/04/11 19:30:00
1365703920,111.72142857,2013/04/11 20:12:00
1365706440,111.76507937,2013/04/11 20:54:00
1365708960,103.95952381,2013/04/11 21:36:00
1365711480,114.47857143,2013/04/11 22:18:00
1365714000,118.74603175,2013/04/11 23:00:00
1365716520,100.57420635,2013/04/11 23:42:00
1365719040,109.35238095,2013/04/12 00:24:00
1365721560,107.77103175,2013/04/12 01:06:00
1365724080,105.62857143,2013/04/12 01:48:00
1365726600,105.13015873,2013/04/12 02:30:00
1365729120,109.5,2013/04/12 03:12:00
1365731640,122.3702381,2013/04/12 03:54:00
1365734160,120.74007937,2013/04/12 04:36:00
1365736680,116.50873016,2013/04/12 05:18:00
1365739200,85.96984127,2013/04/12 06:00:00
1365741720,87.952380952,2013/04/12 06:42:00
1365744240,76.380952381,2013/04/12 07:24:00
1365746760,79.513095238,2013/04/12 08:06:00
1365749280,83.488095238,2013/04/12 08:48:00
1365751800,88.55952381,2013/04/12 09:30:00
1365754320,99.626190476,2013/04/12 10:12:00
1365756840,69.314285714,2013/04/12 10:54:00
1365759360,75.993650794,2013/04/12 11:36:00
1365761880,97.984126984,2013/04/12 12:18:00
1365764400,59.834126984,2013/04/12 13:00:00
1365766920,46.449603175,2013/04/12 13:42:00
1365769440,28.465079365,2013/04/12 14:24:00
1365771960,32.436904762,2013/04/12 15:06:00
1365774480,46.625,2013/04/12 15:48:00
1365777000,52.64484127,2013/04/12 16:30:00
1365779520,102.78174603,2013/04/12 17:12:00
1365782040,115.67420635,2013/04/12 17:54:00
1365784560,115.9265873,2013/04/12 18:36:00
1365787080,114.1718254,2013/04/12 19:18:00
1365789600,129.41785714,2013/04/12 20:00:00
1365792120,120.04761905,2013/04/12 20:42:00
1365794640,130.49761905,2013/04/12 21:24:00
1365797160,129.39246032,2013/04/12 22:06:00
1365799680,128.95634921,2013/04/12 22:48:00
1365802200,120.36507937,2013/04/12 23:30:00
1365804720,120.12103175,2013/04/13 00:12:00
1365807240,118.23650794,2013/04/13 00:54:00
1365809760,118.07103175,2013/04/13 01:36:00
1365812280,116.21269841,2013/04/13 02:18:00
1365814800,118.40634921,2013/04/13 03:00:00
1365817320,126.66706349,2013/04/13 03:42:00
1365819840,124.21269841,2013/04/13 04:24:00
1365822360,125.11230159,2013/04/13 05:06:00
1365824880,124.66388889,2013/04/13 05:48:00
1365827400,122.90793651,2013/04/13 06:30:00
1365829920,122.08492063,2013/04/13 07:12:00
1365832440,118.23968254,2013/04/13 07:54:00
1365834960,128.64404762,2013/04/13 08:36:00
1365837480,119.90992063,2013/04/13 09:18:00
1365840000,119.89920635,2013/04/13 10:00:00
1365842520,117.88888889,2013/04/13 10:42:00
1365845040,118.24325397,2013/04/13 11:24:00
1365847560,117.43492063,2013/04/13 12:06:00
1365850080,113.96507937,2013/04/13 12:48:00
1365852600,119.12539683,2013/04/13 13:30:00
1365855120,123.00634921,2013/04/13 14:12:00
1365857640,116.4218254,2013/04/13 14:54:00
1365860160,114.48769841,2013/04/13 15:36:00
1365862680,114.44444444,2013/04/13 16:18:00
1365865200,113.50515873,2013/04/13 17:00:00
1365867720,111.65595238,2013/04/13 17:42:00
1365870240,111.10793651,2013/04/13 18:24:00
1365872760,109.15714286,2013/04/13 19:06:00
1365875280,110.70793651,2013/04/13 19:48:00
1365877800,110.32698413,2013/04/13 20:30:00
1365880320,110.23809524,2013/04/13 21:12:00
