unix_timestamp,active_jobs,readable_time
1366036920,55.177777778,2013/04/15 16:42:00
1366037280,54.205555556,2013/04/15 16:48:00
1366037640,58.0,2013/04/15 16:54:00
1366038000,66.55,2013/04/15 17:00:00
1366038360,58.547222222,2013/04/15 17:06:00
1366038720,55.280555556,2013/04/15 17:12:00
1366039080,54.938888889,2013/04/15 17:18:00
1366039440,58.402777778,2013/04/15 17:24:00
1366039800,80.288888889,2013/04/15 17:30:00
1366040160,93.375,2013/04/15 17:36:00
1366040520,101.15555556,2013/04/15 17:42:00
1366040880,106.00555556,2013/04/15 17:48:00
1366041240,112.11111111,2013/04/15 17:54:00
1366041600,105.2,2013/04/15 18:00:00
1366041960,103.76666667,2013/04/15 18:06:00
1366042320,98.883333333,2013/04/15 18:12:00
1366042680,104.0,2013/04/15 18:18:00
1366043040,108.26111111,2013/04/15 18:24:00
1366043400,107.26111111,2013/04/15 18:30:00
1366043760,103.86944444,2013/04/15 18:36:00
1366044120,112.42222222,2013/04/15 18:42:00
1366044480,106.675,2013/04/15 18:48:00
1366044840,104.73888889,2013/04/15 18:54:00
1366045200,98.419444444,2013/04/15 19:00:00
1366045560,102.6,2013/04/15 19:06:00
1366045920,103.50833333,2013/04/15 19:12:00
1366046280,100.34444444,2013/04/15 19:18:00
1366046640,100.9,2013/04/15 19:24:00
1366047000,101.84444444,2013/04/15 19:30:00
1366047360,100.77777778,2013/04/15 19:36:00
1366047720,103.0,2013/04/15 19:42:00
1366048080,100.22222222,2013/04/15 19:48:00
1366048440,98.777777778,2013/04/15 19:54:00
1366048800,89.469444444,2013/04/15 20:00:00
1366049160,97.888888889,2013/04/15 20:06:00
1366049520,94.511111111,2013/04/15 20:12:00
1366049880,89.955555556,2013/04/15 20:18:00
1366050240,97.044444444,2013/04/15 20:24:00
1366050600,94.977777778,2013/04/15 20:30:00
1366050960,97.097222222,2013/04/15 20:36:00
1366051320,92.933333333,2013/04/15 20:42:00
1366051680,87.111111111,2013/04/15 20:48:00
1366052040,94.444444444,2013/04/15 20:54:00
1366052400,89.088888889,2013/04/15 21:00:00
1366052760,93.155555556,2013/04/15 21:06:00
1366053120,96.733333333,2013/04/15 21:12:00
1366053480,99.577777778,2013/04/15 21:18:00
1366053840,95.986111111,2013/04/15 21:24:00
1366054200,98.266666667,2013/04/15 21:30:00
1366054560,92.6,2013/04/15 21:36:00
1366054920,95.133333333,2013/04/15 21:42:00
1366055280,96.444444444,2013/04/15 21:48:00
1366055640,97.0,2013/04/15 21:54:00
1366056000,94.6,2013/04/15 22:00:00
1366056360,86.866666667,2013/04/15 22:06:00
1366056720,93.044444444,2013/04/15 22:12:00
1366057080,95.4,2013/04/15 22:18:00
1366057440,94.466666667,2013/04/15 22:24:00
1366057800,97.666666667,2013/04/15 22:30:00
1366058160,98.822222222,2013/04/15 22:36:00
1366058520,93.777777778,2013/04/15 22:42:00
1366058880,96.211111111,2013/04/15 22:48:00
1366059240,98.7,2013/04/15 22:54:00
1366059600,95.6,2013/04/15 23:00:00
1366059960,95.044444444,2013/04/15 23:06:00
1366060320,94.888888889,2013/04/15 23:12:00
1366060680,98.8,2013/04/15 23:18:00
1366061040,87.577777778,2013/04/15 23:24:00
1366061400,92.0,2013/04/15 23:30:00
1366061760,97.022222222,2013/04/15 23:36:00
1366062120,96.355555556,2013/04/15 23:42:00
1366062480,93.2,2013/04/15 23:48:00
1366062840,98.4,2013/04/15 23:54:00
1366063200,98.844444444,2013/04/16 00:00:00
1366063560,94.933333333,2013/04/16 00:06:00
1366063920,96.044444444,2013/04/16 00:12:00
1366064280,95.822222222,2013/04/16 00:18:00
1366064640,97.6,2013/04/16 00:24:00
1366065000,97.155555556,2013/04/16 00:30:00
1366065360,100.0,2013/04/16 00:36:00
1366065720,99.244444444,2013/04/16 00:42:00
1366066080,94.088888889,2013/04/16 00:48:00
1366066440,98.533333333,2013/04/16 00:54:00
1366066800,98.555555556,2013/04/16 01:00:00
1366067160,84.177777778,2013/04/16 01:06:00
1366067520,97.866666667,2013/04/16 01:12:00
1366067880,92.822222222,2013/04/16 01:18:00
1366068240,91.955555556,2013/04/16 01:24:00
1366068600,96.822222222,2013/04/16 01:30:00
1366068960,92.0,2013/04/16 01:36:00
1366069320,98.422222222,2013/04/16 01:42:00
1366069680,95.066666667,2013/04/16 01:48:00
1366070040,98.377777778,2013/04/16 01:54:00
1366070400,98.577777778,2013/04/16 02:00:00
1366070760,98.866666667,2013/04/16 02:06:00
1366071120,96.669444444,2013/04/16 02:12:00
1366071480,98.977777778,2013/04/16 02:18:00
1366071840,98.2,2013/04/16 02:24:00
1366072200,99.0,2013/04/16 02:30:00
1366072560,95.933333333,2013/04/16 02:36:00
1366072920,96.2,2013/04/16 02:42:00
1366073280,97.822222222,2013/04/16 02:48:00
1366073640,98.977777778,2013/04/16 02:54:00
1366074000,89.755555556,2013/04/16 03:00:00
1366074360,94.575,2013/04/16 03:06:00
1366074720,96.577777778,2013/04/16 03:12:00
1366075080,94.977777778,2013/04/16 03:18:00
1366075440,96.6,2013/04/16 03:24:00
1366075800,91.4,2013/04/16 03:30:00
1366076160,97.066666667,2013/04/16 03:36:00
1366076520,98.0,2013/04/16 03:42:00
1366076880,98.0,2013/04/16 03:48:00
1366077240,97.222222222,2013/04/16 03:54:00
1366077600,96.355555556,2013/04/16 04:00:00
1366077960,96.644444444,2013/04/16 04:06:00
1366078320,95.355555556,2013/04/16 04:12:00
1366078680,98.0,2013/04/16 04:18:00
1366079040,92.155555556,2013/04/16 04:24:00
1366079400,96.844444444,2013/04/16 04:30:00
1366079760,97.755555556,2013/04/16 04:36:00
1366080120,96.733333333,2013/04/16 04:42:00
1366080480,95.288888889,2013/04/16 04:48:00
1366080840,95.155555556,2013/04/16 04:54:00
1366081200,92.358333333,2013/04/16 05:00:00
1366081560,90.288888889,2013/04/16 05:06:00
1366081920,94.177777778,2013/04/16 05:12:00
1366082280,95.177777778,2013/04/16 05:18:00
1366082640,97.0,2013/04/16 05:24:00
1366083000,94.477777778,2013/04/16 05:30:00
1366083360,95.677777778,2013/04/16 05:36:00
1366083720,93.661111111,2013/04/16 05:42:00
1366084080,94.844444444,2013/04/16 05:48:00
1366084440,90.088888889,2013/04/16 05:54:00
1366084800,96.0,2013/04/16 06:00:00
1366085160,90.577777778,2013/04/16 06:06:00
1366085520,95.288888889,2013/04/16 06:12:00
1366085880,92.711111111,2013/04/16 06:18:00
1366086240,92.288888889,2013/04/16 06:24:00
1366086600,96.0,2013/04/16 06:30:00
1366086960,95.088888889,2013/04/16 06:36:00
1366087320,96.0,2013/04/16 06:42:00
1366087680,94.688888889,2013/04/16 06:48:00
1366088040,91.844444444,2013/04/16 06:54:00
1366088400,96.0,2013/04/16 07:00:00
1366088760,93.177777778,2013/04/16 07:06:00
1366089120,88.577777778,2013/04/16 07:12:00
1366089480,86.822222222,2013/04/16 07:18:00
1366089840,74.794444444,2013/04/16 07:24:00
1366090200,61.555555556,2013/04/16 07:30:00
1366090560,63.0,2013/04/16 07:36:00
1366090920,62.647222222,2013/04/16 07:42:00
1366091280,62.0,2013/04/16 07:48:00
1366091640,61.155555556,2013/04/16 07:54:00
