unix_timestamp,active_jobs,readable_time
1363672800,136.12519841,2013/03/19 07:00:00
1363682880,138.91924603,2013/03/19 09:48:00
1363692960,112.79821429,2013/03/19 12:36:00
1363703040,44.624900794,2013/03/19 15:24:00
1363713120,118.34295635,2013/03/19 18:12:00
1363723200,102.22748016,2013/03/19 21:00:00
1363733280,84.050099206,2013/03/19 23:48:00
1363743360,89.482837302,2013/03/20 02:36:00
1363753440,68.663492063,2013/03/20 05:24:00
1363763520,86.467063492,2013/03/20 08:12:00
1363773600,98.728373016,2013/03/20 11:00:00
1363783680,85.128670635,2013/03/20 13:48:00
1363793760,90.439781746,2013/03/20 16:36:00
1363803840,113.71974206,2013/03/20 19:24:00
1363813920,50.001190476,2013/03/20 22:12:00
1363824000,35.939880952,2013/03/21 01:00:00
1363834080,34.272123016,2013/03/21 03:48:00
1363844160,33.0,2013/03/21 06:36:00
1363854240,32.573015873,2013/03/21 09:24:00
1363864320,32.416369048,2013/03/21 12:12:00
1363874400,22.649107143,2013/03/21 15:00:00
1363884480,63.850496032,2013/03/21 17:48:00
1363894560,57.902579365,2013/03/21 20:36:00
1363904640,56.521428571,2013/03/21 23:24:00
1363914720,87.530952381,2013/03/22 02:12:00
1363924800,91.205357143,2013/03/22 05:00:00
1363934880,88.909027778,2013/03/22 07:48:00
1363944960,81.951587302,2013/03/22 10:36:00
1363955040,77.425595238,2013/03/22 13:24:00
1363965120,76.749503968,2013/03/22 16:12:00
1363975200,79.394940476,2013/03/22 19:00:00
1363985280,69.528075397,2013/03/22 21:48:00
1363995360,70.875,2013/03/23 00:36:00
1364005440,55.701289683,2013/03/23 03:24:00
1364015520,77.534126984,2013/03/23 06:12:00
1364025600,94.206150794,2013/03/23 09:00:00
1364035680,91.191269841,2013/03/23 11:48:00
1364045760,80.316369048,2013/03/23 14:36:00
1364055840,81.482738095,2013/03/23 17:24:00
1364065920,95.092956349,2013/03/23 20:12:00
1364076000,75.476388889,2013/03/23 23:00:00
1364086080,82.900595238,2013/03/24 01:48:00
1364096160,95.429365079,2013/03/24 04:36:00
1364106240,94.015079365,2013/03/24 07:24:00
1364116320,90.440277778,2013/03/24 10:12:00
1364126400,96.273214286,2013/03/24 13:00:00
1364136480,94.243353175,2013/03/24 15:48:00
1364146560,92.307936508,2013/03/24 18:36:00
1364156640,92.331746032,2013/03/24 21:24:00
1364166720,93.48531746,2013/03/25 00:12:00
1364176800,93.626587302,2013/03/25 03:00:00
1364186880,93.752380952,2013/03/25 05:48:00
1364196960,91.92797619,2013/03/25 08:36:00
1364207040,92.581547619,2013/03/25 11:24:00
1364217120,96.133134921,2013/03/25 14:12:00
1364227200,89.896031746,2013/03/25 17:00:00
1364237280,16.734920635,2013/03/25 19:48:00
1364247360,13.035119048,2013/03/25 22:36:00
1364257440,13.906845238,2013/03/26 01:24:00
1364267520,13.7375,2013/03/26 04:12:00
1364277600,13.0,2013/03/26 07:00:00
1364287680,13.0,2013/03/26 09:48:00
1364297760,13.623115079,2013/03/26 12:36:00
1364307840,15.727678571,2013/03/26 15:24:00
1364317920,86.426984127,2013/03/26 18:12:00
1364328000,88.752083333,2013/03/26 21:00:00
1364338080,92.082043651,2013/03/26 23:48:00
1364348160,97.373313492,2013/03/27 02:36:00
1364358240,85.089880952,2013/03/27 05:24:00
1364368320,84.259126984,2013/03/27 08:12:00
1364378400,82.758730159,2013/03/27 11:00:00
1364388480,15.694742063,2013/03/27 13:48:00
1364398560,12.0,2013/03/27 16:36:00
1364408640,13.151488095,2013/03/27 19:24:00
1364418720,12.101190476,2013/03/27 22:12:00
1364428800,12.0,2013/03/28 01:00:00
1364438880,12.0,2013/03/28 03:48:00
1364448960,12.0,2013/03/28 06:36:00
1364459040,12.0,2013/03/28 09:24:00
1364469120,12.0,2013/03/28 12:12:00
1364479200,12.0,2013/03/28 15:00:00
1364489280,12.0,2013/03/28 17:48:00
1364499360,29.124206349,2013/03/28 20:36:00
1364509440,61.88015873,2013/03/28 23:24:00
1364519520,43.323412698,2013/03/29 02:12:00
1364529600,12.0,2013/03/29 05:00:00
1364539680,12.0,2013/03/29 07:48:00
