unix_timestamp,active_jobs,readable_time
1366120965,91.0,2013/04/16 16:02:45
1366120980,91.0,2013/04/16 16:03:00
1366120995,91.0,2013/04/16 16:03:15
1366121010,91.0,2013/04/16 16:03:30
1366121025,91.0,2013/04/16 16:03:45
1366121040,87.8,2013/04/16 16:04:00
1366121055,83.0,2013/04/16 16:04:15
1366121070,83.0,2013/04/16 16:04:30
1366121085,83.0,2013/04/16 16:04:45
1366121100,83.0,2013/04/16 16:05:00
1366121115,83.0,2013/04/16 16:05:15
1366121130,83.0,2013/04/16 16:05:30
1366121145,83.0,2013/04/16 16:05:45
1366121160,83.0,2013/04/16 16:06:00
1366121175,88.333333333,2013/04/16 16:06:15
1366121190,88.333333333,2013/04/16 16:06:30
1366121205,91.0,2013/04/16 16:06:45
1366121220,91.0,2013/04/16 16:07:00
1366121235,91.0,2013/04/16 16:07:15
1366121250,91.0,2013/04/16 16:07:30
1366121265,91.0,2013/04/16 16:07:45
1366121280,91.0,2013/04/16 16:08:00
1366121295,98.333333333,2013/04/16 16:08:15
1366121310,102.0,2013/04/16 16:08:30
1366121325,102.0,2013/04/16 16:08:45
1366121340,96.133333333,2013/04/16 16:09:00
1366121355,91.0,2013/04/16 16:09:15
1366121370,91.0,2013/04/16 16:09:30
1366121385,91.0,2013/04/16 16:09:45
1366121400,91.0,2013/04/16 16:10:00
1366121415,91.0,2013/04/16 16:10:15
1366121430,91.0,2013/04/16 16:10:30
1366121445,91.0,2013/04/16 16:10:45
1366121460,91.0,2013/04/16 16:11:00
1366121475,91.0,2013/04/16 16:11:15
1366121490,91.0,2013/04/16 16:11:30
1366121505,91.0,2013/04/16 16:11:45
1366121520,91.0,2013/04/16 16:12:00
1366121535,91.266666667,2013/04/16 16:12:15
1366121550,92.0,2013/04/16 16:12:30
1366121565,92.0,2013/04/16 16:12:45
1366121580,92.333333333,2013/04/16 16:13:00
1366121595,97.0,2013/04/16 16:13:15
1366121610,97.0,2013/04/16 16:13:30
1366121625,97.0,2013/04/16 16:13:45
1366121640,97.0,2013/04/16 16:14:00
1366121655,92.333333333,2013/04/16 16:14:15
1366121670,92.0,2013/04/16 16:14:30
1366121685,92.0,2013/04/16 16:14:45
1366121700,93.8,2013/04/16 16:15:00
1366121715,93.8,2013/04/16 16:15:15
1366121730,95.0,2013/04/16 16:15:30
1366121745,95.0,2013/04/16 16:15:45
1366121760,92.6,2013/04/16 16:16:00
1366121775,92.0,2013/04/16 16:16:15
1366121790,92.0,2013/04/16 16:16:30
1366121805,92.0,2013/04/16 16:16:45
1366121820,92.0,2013/04/16 16:17:00
1366121835,103.73333333,2013/04/16 16:17:15
1366121850,103.73333333,2013/04/16 16:17:30
1366121865,108.0,2013/04/16 16:17:45
1366121880,94.933333333,2013/04/16 16:18:00
1366121895,94.933333333,2013/04/16 16:18:15
1366121910,94.0,2013/04/16 16:18:30
1366121925,94.0,2013/04/16 16:18:45
1366121940,101.0,2013/04/16 16:19:00
1366121955,101.0,2013/04/16 16:19:15
1366121970,104.0,2013/04/16 16:19:30
1366121985,104.0,2013/04/16 16:19:45
1366122000,101.06666667,2013/04/16 16:20:00
1366122015,93.0,2013/04/16 16:20:15
1366122030,93.0,2013/04/16 16:20:30
1366122045,93.0,2013/04/16 16:20:45
1366122060,91.4,2013/04/16 16:21:00
1366122075,91.4,2013/04/16 16:21:15
1366122090,91.0,2013/04/16 16:21:30
1366122105,91.0,2013/04/16 16:21:45
1366122120,91.0,2013/04/16 16:22:00
1366122135,83.0,2013/04/16 16:22:15
1366122150,83.0,2013/04/16 16:22:30
1366122165,83.0,2013/04/16 16:22:45
1366122180,83.0,2013/04/16 16:23:00
1366122195,83.0,2013/04/16 16:23:15
1366122210,83.0,2013/04/16 16:23:30
1366122225,83.0,2013/04/16 16:23:45
1366122240,87.533333333,2013/04/16 16:24:00
1366122255,87.533333333,2013/04/16 16:24:15
1366122270,91.0,2013/04/16 16:24:30
1366122285,91.0,2013/04/16 16:24:45
1366122300,93.7,2013/04/16 16:25:00
1366122315,93.7,2013/04/16 16:25:15
1366122330,86.0,2013/04/16 16:25:30
1366122345,86.0,2013/04/16 16:25:45
1366122360,85.533333333,2013/04/16 16:26:00
1366122375,85.0,2013/04/16 16:26:15
1366122390,85.0,2013/04/16 16:26:30
1366122405,85.0,2013/04/16 16:26:45
1366122420,85.0,2013/04/16 16:27:00
1366122435,85.0,2013/04/16 16:27:15
1366122450,85.0,2013/04/16 16:27:30
1366122465,85.0,2013/04/16 16:27:45
1366122480,92.466666667,2013/04/16 16:28:00
1366122495,93.0,2013/04/16 16:28:15
1366122510,93.0,2013/04/16 16:28:30
1366122525,93.0,2013/04/16 16:28:45
1366122540,93.0,2013/04/16 16:29:00
1366122555,93.0,2013/04/16 16:29:15
1366122570,93.0,2013/04/16 16:29:30
1366122585,93.0,2013/04/16 16:29:45
1366122600,93.0,2013/04/16 16:30:00
1366122615,93.0,2013/04/16 16:30:15
1366122630,93.0,2013/04/16 16:30:30
1366122645,93.0,2013/04/16 16:30:45
1366122660,91.266666667,2013/04/16 16:31:00
1366122675,91.266666667,2013/04/16 16:31:15
1366122690,91.0,2013/04/16 16:31:30
1366122705,91.0,2013/04/16 16:31:45
1366122720,91.733333333,2013/04/16 16:32:00
1366122735,91.733333333,2013/04/16 16:32:15
1366122750,92.0,2013/04/16 16:32:30
1366122765,92.0,2013/04/16 16:32:45
1366122780,92.0,2013/04/16 16:33:00
1366122795,92.0,2013/04/16 16:33:15
1366122810,92.0,2013/04/16 16:33:30
1366122825,92.0,2013/04/16 16:33:45
1366122840,92.0,2013/04/16 16:34:00
1366122855,92.0,2013/04/16 16:34:15
1366122870,92.0,2013/04/16 16:34:30
1366122885,92.0,2013/04/16 16:34:45
1366122900,92.0,2013/04/16 16:35:00
1366122915,92.0,2013/04/16 16:35:15
1366122930,92.0,2013/04/16 16:35:30
1366122945,92.0,2013/04/16 16:35:45
1366122960,92.0,2013/04/16 16:36:00
1366122975,92.0,2013/04/16 16:36:15
1366122990,92.0,2013/04/16 16:36:30
1366123005,92.0,2013/04/16 16:36:45
1366123020,92.0,2013/04/16 16:37:00
1366123035,92.0,2013/04/16 16:37:15
1366123050,92.0,2013/04/16 16:37:30
1366123065,92.0,2013/04/16 16:37:45
1366123080,92.0,2013/04/16 16:38:00
1366123095,92.0,2013/04/16 16:38:15
1366123110,92.0,2013/04/16 16:38:30
1366123125,92.0,2013/04/16 16:38:45
1366123140,92.0,2013/04/16 16:39:00
1366123155,92.0,2013/04/16 16:39:15
1366123170,92.0,2013/04/16 16:39:30
1366123185,92.0,2013/04/16 16:39:45
1366123200,92.0,2013/04/16 16:40:00
1366123215,92.0,2013/04/16 16:40:15
1366123230,92.0,2013/04/16 16:40:30
1366123245,92.0,2013/04/16 16:40:45
1366123260,92.0,2013/04/16 16:41:00
1366123275,92.0,2013/04/16 16:41:15
1366123290,92.0,2013/04/16 16:41:30
1366123305,92.0,2013/04/16 16:41:45
1366123320,92.0,2013/04/16 16:42:00
1366123335,92.0,2013/04/16 16:42:15
1366123350,92.0,2013/04/16 16:42:30
1366123365,92.0,2013/04/16 16:42:45
1366123380,92.0,2013/04/16 16:43:00
1366123395,92.0,2013/04/16 16:43:15
1366123410,92.0,2013/04/16 16:43:30
1366123425,92.0,2013/04/16 16:43:45
1366123440,92.0,2013/04/16 16:44:00
1366123455,92.0,2013/04/16 16:44:15
1366123470,92.0,2013/04/16 16:44:30
1366123485,92.0,2013/04/16 16:44:45
1366123500,92.0,2013/04/16 16:45:00
1366123515,92.0,2013/04/16 16:45:15
1366123530,92.0,2013/04/16 16:45:30
1366123545,92.0,2013/04/16 16:45:45
1366123560,92.0,2013/04/16 16:46:00
1366123575,92.0,2013/04/16 16:46:15
1366123590,92.0,2013/04/16 16:46:30
