unix_timestamp,active_mem,readable_time
1333843200,833791969.86,2012/04/08 02:00:00
1333929600,773482306.83,2012/04/09 02:00:00
1334016000,719850314.88,2012/04/10 02:00:00
1334102400,736602753.18,2012/04/11 02:00:00
1334188800,760214356.05,2012/04/12 02:00:00
1334275200,801422438.07,2012/04/13 02:00:00
1334361600,783238688.03,2012/04/14 02:00:00
1334448000,864373763.21,2012/04/15 02:00:00
1334534400,858912014.67,2012/04/16 02:00:00
1334620800,679889211.87,2012/04/17 02:00:00
1334707200,613576777.66,2012/04/18 02:00:00
1334793600,738181813.72,2012/04/19 02:00:00
1334880000,814590418.13,2012/04/20 02:00:00
1334966400,799905899.38,2012/04/21 02:00:00
1335052800,791786476.09,2012/04/22 02:00:00
1335139200,790217096.4,2012/04/23 02:00:00
1335225600,775714054.87,2012/04/24 02:00:00
1335312000,858446839.62,2012/04/25 02:00:00
1335398400,858550599.7,2012/04/26 02:00:00
1335484800,733673779.95,2012/04/27 02:00:00
1335571200,730298621.54,2012/04/28 02:00:00
1335657600,736495458.17,2012/04/29 02:00:00
1335744000,750711859.48,2012/04/30 02:00:00
1335830400,776453852.16,2012/05/01 02:00:00
1335916800,843592493.87,2012/05/02 02:00:00
1336003200,877083589.27,2012/05/03 02:00:00
1336089600,867664764.24,2012/05/04 02:00:00
1336176000,766595185.6,2012/05/05 02:00:00
1336262400,670044883.92,2012/05/06 02:00:00
1336348800,668609678.11,2012/05/07 02:00:00
1336435200,663877351.21,2012/05/08 02:00:00
1336521600,652894400.45,2012/05/09 02:00:00
1336608000,631557952.41,2012/05/10 02:00:00
1336694400,634126885.26,2012/05/11 02:00:00
1336780800,636578941.45,2012/05/12 02:00:00
1336867200,637129150.9,2012/05/13 02:00:00
1336953600,636744112.11,2012/05/14 02:00:00
1337040000,640379309.25,2012/05/15 02:00:00
1337126400,684601681.63,2012/05/16 02:00:00
1337212800,723686324.12,2012/05/17 02:00:00
1337299200,797770014.08,2012/05/18 02:00:00
1337385600,841846608.16,2012/05/19 02:00:00
1337472000,871099955.81,2012/05/20 02:00:00
1337558400,869939448.29,2012/05/21 02:00:00
1337644800,868749741.35,2012/05/22 02:00:00
1337731200,830986467.64,2012/05/23 02:00:00
1337817600,771088422.11,2012/05/24 02:00:00
1337904000,774551939.14,2012/05/25 02:00:00
1337990400,781251842.78,2012/05/26 02:00:00
1338076800,799137974.48,2012/05/27 02:00:00
1338163200,799621198.61,2012/05/28 02:00:00
1338249600,769720204.7,2012/05/29 02:00:00
1338336000,707968149.29,2012/05/30 02:00:00
1338422400,717270195.4,2012/05/31 02:00:00
1338508800,720510748.07,2012/06/01 02:00:00
1338595200,756131218.4,2012/06/02 02:00:00
1338681600,816828913.19,2012/06/03 02:00:00
1338768000,825132041.97,2012/06/04 02:00:00
1338854400,823560043.18,2012/06/05 02:00:00
1338940800,828704203.06,2012/06/06 02:00:00
1339027200,845408113.28,2012/06/07 02:00:00
1339113600,861828981.68,2012/06/08 02:00:00
1339200000,870379918.46,2012/06/09 02:00:00
1339286400,860957039.61,2012/06/10 02:00:00
1339372800,858921519.47,2012/06/11 02:00:00
1339459200,862422969.84,2012/06/12 02:00:00
1339545600,859900038.58,2012/06/13 02:00:00
1339632000,857463052.66,2012/06/14 02:00:00
1339718400,849034307.4,2012/06/15 02:00:00
1339804800,837658504.8,2012/06/16 02:00:00
1339891200,852221176.64,2012/06/17 02:00:00
1339977600,913054199.89,2012/06/18 02:00:00
1340064000,933071966.35,2012/06/19 02:00:00
1340150400,935650238.84,2012/06/20 02:00:00
1340236800,932107858.16,2012/06/21 02:00:00
1340323200,909146424.6,2012/06/22 02:00:00
1340409600,827278647.93,2012/06/23 02:00:00
1340496000,760010633.83,2012/06/24 02:00:00
1340582400,800213943.21,2012/06/25 02:00:00
1340668800,828085806.45,2012/06/26 02:00:00
1340755200,823093115.79,2012/06/27 02:00:00
1340841600,799828240.15,2012/06/28 02:00:00
1340928000,796359694.56,2012/06/29 02:00:00
1341014400,799818723.12,2012/06/30 02:00:00
1341100800,804257305.89,2012/07/01 02:00:00
1341187200,809841591.74,2012/07/02 02:00:00
1341273600,821567715.22,2012/07/03 02:00:00
1341360000,808726359.66,2012/07/04 02:00:00
1341446400,764448724.84,2012/07/05 02:00:00
1341532800,799390350.13,2012/07/06 02:00:00
1341619200,806970562.79,2012/07/07 02:00:00
1341705600,781917885.0,2012/07/08 02:00:00
1341792000,825878559.66,2012/07/09 02:00:00
1341878400,839874405.35,2012/07/10 02:00:00
1341964800,785644343.15,2012/07/11 02:00:00
1342051200,628581183.12,2012/07/12 02:00:00
1342137600,771444771.65,2012/07/13 02:00:00
1342224000,845385456.45,2012/07/14 02:00:00
1342310400,835516141.4,2012/07/15 02:00:00
1342396800,827208580.1,2012/07/16 02:00:00
1342483200,829024593.28,2012/07/17 02:00:00
1342569600,839389778.1,2012/07/18 02:00:00
1342656000,835041626.97,2012/07/19 02:00:00
1342742400,833288112.46,2012/07/20 02:00:00
1342828800,854289205.71,2012/07/21 02:00:00
1342915200,846606906.95,2012/07/22 02:00:00
1343001600,849748974.57,2012/07/23 02:00:00
1343088000,860770285.93,2012/07/24 02:00:00
